Taxonomy,Phylum,Class,Order,Family,Genus,Species
Bacteroidetes;Bacteroidia;Bacteroidales;Paludibacteraceae;Paludibacter;bacterium,Bacteroidetes,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,bacterium
Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Monocercomonoides,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Monocercomonoides
Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;unidentified,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,unidentified
Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;uncultured;Porphyromonadaceae,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,uncultured,Porphyromonadaceae
Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;Niastella,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,Niastella
Bacteroidetes;Bacteroidia;Cytophagales;Microscillaceae;Thermoflexibacter;Thermoflexibacter,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,Thermoflexibacter,Thermoflexibacter
Bacteroidetes;Bacteroidia;Flavobacteriales;Crocinitomicaceae;uncultured;uncultured,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,uncultured,uncultured
Bacteroidetes;Bacteroidia;Flavobacteriales;Cryomorphaceae;uncultured;Cryomorphaceae,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,uncultured,Cryomorphaceae
Bacteroidetes;Bacteroidia;Sphingobacteriales;AKYH767;uncultured,Bacteroidetes,Bacteroidia,Sphingobacteriales,AKYH767,uncultured,
Bacteroidetes;Bacteroidia;Sphingobacteriales;CMW-169;uncultured,Bacteroidetes,Bacteroidia,Sphingobacteriales,CMW-169,uncultured,
Bacteroidetes;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;Mucilaginibacter,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Mucilaginibacter
Bacteroidetes;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;uncultured,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,uncultured
Chloroflexi;Anaerolineae;Ardenticatenales;Ardenticatenaceae;uncultured;uncultured,Chloroflexi,Anaerolineae,Ardenticatenales,Ardenticatenaceae,uncultured,uncultured
Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;uncultured,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,uncultured
Firmicutes;Clostridia;Clostridiales;Gracilibacteraceae;Gracilibacter;iron-reducing,Firmicutes,Clostridia,Clostridiales,Gracilibacteraceae,Gracilibacter,iron-reducing
Firmicutes;Clostridia;Clostridiales;Gracilibacteraceae;uncultured;uncultured,Firmicutes,Clostridia,Clostridiales,Gracilibacteraceae,uncultured,uncultured
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes;Lactobacillus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Lactobacillus
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Howardella;Howardella,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Howardella,Howardella
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Howardella;uncultured,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Howardella,uncultured
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Hungatella;Clostridium,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Hungatella,Clostridium
Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerofilum;metagenome,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerofilum,metagenome
Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerofilum;uncultured,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerofilum,uncultured
Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;Anaerotruncus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus,Anaerotruncus
Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Candidatus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Candidatus,
Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Trichuris,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Trichuris
Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;GCA-900066225;Clostridium,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,GCA-900066225,Clostridium
Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;GCA-900066225;uncultured,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,GCA-900066225,uncultured
Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Phocea;Anaerotruncus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Phocea,Anaerotruncus
Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Phocea;Phocea,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Phocea,Phocea
Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;uncultured,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Pseudoflavonifractor,uncultured
Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium;metagenome,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,metagenome
Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Saccharofermentans;uncultured,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Saccharofermentans,uncultured
Firmicutes;Clostridia;Clostridiales;TC1;uncultured,Firmicutes,Clostridia,Clostridiales,TC1,uncultured,
Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalitalea;gut,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalitalea,gut
Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Holdemanella;Holdemanella,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,Holdemanella
Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Holdemanella;human,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,human
Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Phascolarctobacterium,Phascolarctobacterium
Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Anaerospora;uncultured,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Anaerospora,uncultured
Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;unidentified,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,unidentified
Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Negativicoccus;Negativicoccus,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Negativicoccus,Negativicoccus
Patescibacteria;Saccharimonadia;Saccharimonadales;uncultured,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured,,
Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Hyphomonas;Hyphomonas,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas,Hyphomonas
Proteobacteria;Alphaproteobacteria;Kordiimonadales;Iodidimonadaceae;Iodidimonas;uncultured,Proteobacteria,Alphaproteobacteria,Kordiimonadales,Iodidimonadaceae,Iodidimonas,uncultured
Proteobacteria;Alphaproteobacteria;Paracaedibacterales;Paracaedibacteraceae;Candidatus,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,Candidatus,
Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales,,
Proteobacteria;Deltaproteobacteria;DTB120;Deltaproteobacteria,Proteobacteria,Deltaproteobacteria,DTB120,Deltaproteobacteria,,
Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;Brachyspira,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Brachyspira
Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;uncultured,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,uncultured
Proteobacteria;Gammaproteobacteria;Alteromonadales;Idiomarinaceae;Idiomarina;uncultured,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,uncultured
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Achromobacter;Achromobacter,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Achromobacter,Achromobacter
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Oxalobacter;Oxalobacter,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Oxalobacter,Oxalobacter
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Oxalobacter;uncultured,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Oxalobacter,uncultured
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Oxalobacter;unidentified,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Oxalobacter,unidentified
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Polynucleobacter;uncultured,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Polynucleobacter,uncultured
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Sphaerotilus;uncultured,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Sphaerotilus,uncultured
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;uncultured;uncultured,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,uncultured,uncultured
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Hydrogenophilaceae;uncultured;denitrifying,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,uncultured,denitrifying
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Rhodocyclaceae;C39;beta,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,C39,beta
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Rhodocyclaceae;Thauera;uncultured,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Thauera,uncultured
Rokubacteria;NC10;Methylomirabilales;Methylomirabilaceae;Sh765B-TzT-35;candidate,Rokubacteria,NC10,Methylomirabilales,Methylomirabilaceae,Sh765B-TzT-35,candidate
Synergistetes;Synergistia;Synergistales;Synergistaceae;Cloacibacillus;Cloacibacillus,Synergistetes,Synergistia,Synergistales,Synergistaceae,Cloacibacillus,Cloacibacillus
Tenericutes;Mollicutes;Mollicutes,Tenericutes,Mollicutes,Mollicutes,,,
Verrucomicrobiales;Rubritaleaceae;Haloferula;uncultured,Verrucomicrobiales,Rubritaleaceae,Haloferula,uncultured,,
Acidobacteria;Holophagae;Subgroup,Acidobacteria,Holophagae,Subgroup,,,
Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;Cutibacterium,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium,
Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae;Alkaliflexus;Alkaliflexus,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Alkaliflexus,Alkaliflexus
Bacteroidetes;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae;denitrifying,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,denitrifying,
Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Brevibacillus;Brevibacillus,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus
Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;Granulicatella,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella
Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;unidentified,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,unidentified
Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenella;Christensenella,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenella,Christensenella
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Epulopiscium;Epulopiscium,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Epulopiscium,Epulopiscium
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Epulopiscium;uncultured,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Epulopiscium,uncultured
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Fusicatenibacter;[Clostridium],Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Fusicatenibacter,[Clostridium]
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnotalea;uncultured,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnotalea,uncultured
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Sellimonas;Ruminococcus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Sellimonas,Ruminococcus
Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;uncultured;gut,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,uncultured,gut
Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Angelakisella;Angelakisella,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Angelakisella,Angelakisella
Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;DTU089;uncultured,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,DTU089,uncultured
Firmicutes;Clostridia;Clostridiales;Syntrophomonadaceae;Syntrophomonas;Syntrophomonas,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophomonas,Syntrophomonas
Firmicutes;Clostridia;Clostridiales;uncultured;uncultured,Firmicutes,Clostridia,Clostridiales,uncultured,uncultured,
Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Catenibacterium;Catenibacterium,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium,Catenibacterium
Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Catenibacterium;metagenome,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium,metagenome
Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Catenisphaera;uncultured,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenisphaera,uncultured
Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Dubosiella;Dubosiella,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Dubosiella,Dubosiella
Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;uncultured,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,uncultured
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatirhabdium;denitrifying,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfatirhabdium,denitrifying
Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Syntrophus;uncultured,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Syntrophus,uncultured
Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;Pseudoalteromonas,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Kerstersia;uncultured,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Kerstersia,uncultured
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Polaromonas;uncultured,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Polaromonas,uncultured
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Undibacterium;beta,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,beta
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Methylophilaceae;OM43,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,OM43,
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Morganella;uncultured,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Morganella,uncultured
Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;Aggregatibacter,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter
Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Rhodanobacter;Rhodanobacter,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,Rhodanobacter
AF328210.1.1013,AF328210.1.1013,,,,,
AY882466.1.1200,AY882466.1.1200,,,,,
Actinobacteria;Actinomycetales;Actinomycetaceae;Arcanobacterium;Arcanobacterium,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium,Arcanobacterium,
Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Alloscardovia;Alloscardovia,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Alloscardovia,Alloscardovia,
Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Libanicoccus;Libanicoccus,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Libanicoccus,Libanicoccus
Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Libanicoccus;metagenome,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Libanicoccus,metagenome
Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Libanicoccus;uncultured,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Libanicoccus,uncultured
Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;DNF00809;uncultured,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,DNF00809,uncultured
Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus;mouse,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Enterorhabdus,mouse
Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium,
Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;Microbacterium,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium,
Actinobacteria;Micrococcales;Micrococcaceae;Glutamicibacter;Glutamicibacter,Actinobacteria,Micrococcales,Micrococcaceae,Glutamicibacter,Glutamicibacter,
Actinobacteria;Micrococcales;Micrococcaceae;Rothia;Rothia,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,Rothia,
Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia;uncultured,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,uncultured,
Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Saccharopolyspora;Saccharopolyspora,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,Saccharopolyspora,
Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Umezawaea;Umezawaea,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Umezawaea,Umezawaea,
Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter;uncultured,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,uncultured
Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;Gabonia,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Coprobacter,Gabonia
Bacteroidetes;Bacteroidia;Bacteroidales;F082;uncultured,Bacteroidetes,Bacteroidia,Bacteroidales,F082,uncultured,
Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;Sanguibacteroides;Gabonibacter,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,Sanguibacteroides,Gabonibacter
Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae;uncultured;bacterium,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,uncultured,bacterium
Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;metagenome,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,metagenome,
